wadg,nsg_random,nsg_no_random
5323,5468,5323
5547,5696,5546
4214,4319,4212
2544,2639,2545
4544,4605,4540
5724,5877,5719
6314,6416,6304
2775,2830,2768
5555,5567,5547
4938,5074,4983
6192,6310,6219
4676,4748,4656
5065,5216,5112
5627,5779,5707
5488,5573,5474
4264,4466,4396
5521,5670,5577
5715,5831,5778
5396,5578,5402
5448,5622,5522
3140,3203,3165
4491,4595,4500
3305,3439,3347
4219,4388,4331
4886,5021,4898
4607,4707,4638
5303,5468,5352
4891,5021,4959
4892,4953,4906
1933,1979,1943
4292,4390,4301
5476,5634,5504
4844,4990,4877
3722,3801,3689
4912,5094,5001
6020,6058,5951
6312,6389,6281
4513,4563,4498
4785,4846,4755
3892,3945,3814
5185,5201,5145
2824,2839,2757
4928,5031,4928
5597,5653,5546
3750,3755,3794
4100,4240,4133
3881,3922,3847
5746,5834,5685
4110,4162,4062
3475,3627,3472
4444,4569,4473
3738,3814,3727
5049,5127,5086
4631,4776,4756
1400,1563,1506
2361,2380,2331
4777,4819,4821
5512,5598,5515
4794,4915,4765
1475,1518,1520
5244,5427,5293
3176,3295,3251
1533,1562,1490
3161,3280,3136
2617,2674,2583
3400,3486,3310
2514,2695,2549
3287,3436,3215
3213,3270,3211
4740,4898,4740
1617,1738,1700
2808,2824,2796
5334,5412,5262
4186,4312,4147
5099,5213,5143
4533,4613,4548
4034,4037,4001
5320,5273,5148
4736,4814,4671
1922,1984,1902
4563,4655,4540
5890,6077,5928
5762,5794,5721
3802,3901,3785
5163,5263,5155
2229,2294,2144
2971,3063,2984
2062,2178,2032
2738,2814,2701
3030,3052,2953
1966,2050,1972
3014,3106,2926
4613,4709,4542
3665,3722,3596
1927,1991,1873
4602,4614,4514
5346,5401,5260
3979,4103,4039
1904,1931,1919
4380,4459,4309
3978,4055,3973
3091,3145,3140
5348,5390,5326
3756,3825,3735
3283,3351,3307
3978,4048,3924
2593,2692,2573
2247,2320,2231
1472,1525,1520
3475,3576,3426
2522,2569,2557
5428,5409,5354
2247,2348,2211
4883,4935,4873
3102,3199,3049
5879,5928,5828
1449,1557,1515
6571,6621,6472
5235,5307,5228
1540,1621,1684
5024,5108,4991
3639,3677,3561
4802,4886,4796
3040,3137,3038
3989,4085,3943
4478,4551,4447
5805,5875,5739
5232,5279,5275
4252,4413,4370
3263,3305,3155
5451,5477,5467
4365,4398,4347
6341,6356,6253
5296,5361,5211
2120,2236,2189
5205,5263,5195
5486,5515,5402
5089,5116,4989
4229,4358,4184
5093,5128,5078
6089,6058,5972
2574,2597,2597
5428,5549,5415
3505,3574,3463
4112,4116,4092
3757,3788,3746
5774,5789,5623
4546,4599,4531
4277,4316,4228
3943,3999,3843
5764,5859,5677
1386,1491,1462
3586,3640,3554
4417,4474,4397
4517,4594,4501
5294,5342,5274
5558,5648,5481
5939,5895,5843
5684,5739,5686
5586,5652,5602
