wadg,nsg_random,nsg_no_random
0.000233208,0.000401617,0.000212546
2.89E-05,0.000253708,0.000128373
2.55E-05,0.000266338,0.000143589
2.28E-05,0.000245,0.000125659
2.00E-05,0.000245593,0.000125021
1.78E-05,0.000242653,0.000124983
3.35E-05,0.00024444,0.000124056
3.24E-05,0.00024628,0.000125522
5.43E-05,0.00024887,0.0001566
1.79E-05,0.000243248,0.000126324
1.41E-05,0.000269842,0.000127576
2.20E-05,0.000243213,0.000132606
2.30E-05,0.000263024,0.000131432
1.96E-05,0.000244855,0.000125413
1.76E-05,0.000249854,0.000168054
1.78E-05,0.000245342,0.000125711
1.72E-05,0.000275856,0.000130289
1.62E-05,0.000296995,0.000127194
1.49E-05,0.000332371,0.000129061
1.76E-05,0.000268706,0.000129352
1.78E-05,0.000328236,0.000148112
1.84E-05,0.000268104,0.000146423
1.70E-05,0.000250758,0.000140576
1.62E-05,0.000285945,0.000129142
1.60E-05,0.000260359,0.000129873
1.62E-05,0.000251951,0.000136066
7.02E-05,0.000253748,0.000170745
2.20E-05,0.000250192,0.000130591
1.96E-05,0.000245463,0.000127624
1.69E-05,0.000245492,0.00014708
1.99E-05,0.000245442,0.000153337
1.90E-05,0.000270394,0.000155716
1.87E-05,0.00026372,0.000139022
1.76E-05,0.000257476,0.000137312
1.81E-05,0.000432328,0.000138053
1.81E-05,0.000251295,0.000136371
3.35E-05,0.00024709,0.000141845
3.35E-05,0.000247513,0.000134197
2.10E-05,0.000251937,0.00013715
1.85E-05,0.000248048,0.000142762
2.14E-05,0.00026613,0.000131558
1.80E-05,0.000246346,0.000132521
1.83E-05,0.000280231,0.000134915
1.90E-05,0.000271404,0.000131654
2.13E-05,0.000251918,0.000132016
1.98E-05,0.000244282,0.000131632
5.18E-05,0.000253987,0.000133274
1.97E-05,0.00030085,0.000155437
2.00E-05,0.000247458,0.000133928
2.17E-05,0.000240743,0.000129331
2.56E-05,0.000248174,0.000136347
2.82E-05,0.00028116,0.000138271
2.16E-05,0.000241638,0.000135871
1.94E-05,0.000245813,0.000130507
2.25E-05,0.000247176,0.000132776
1.87E-05,0.000241334,0.000161713
4.22E-05,0.00024236,0.000137063
3.95E-05,0.000250256,0.000152789
3.79E-05,0.000270215,0.000152054
4.03E-05,0.000285723,0.000149546
3.78E-05,0.000245033,0.000166977
2.80E-05,0.000246009,0.000193904
2.43E-05,0.000259267,0.00016776
2.13E-05,0.000244914,0.000182746
2.11E-05,0.000244097,0.000146382
3.06E-05,0.000243544,0.000135265
4.02E-05,0.000284877,0.000138673
2.99E-05,0.000245805,0.000134981
2.50E-05,0.000245913,0.000142612
2.25E-05,0.000245098,0.000136286
2.52E-05,0.000258056,0.0001345
2.21E-05,0.00028118,0.000143138
2.22E-05,0.000254798,0.000152323
2.22E-05,0.000248892,0.000144033
5.87E-05,0.000324957,0.000135316
4.18E-05,0.000275965,0.000135648
4.08E-05,0.000249726,0.000138165
4.25E-05,0.000275245,0.000134195
5.80E-05,0.000286629,0.000131216
2.74E-05,0.000257731,0.000136684
3.10E-05,0.000252529,0.00014062
3.36E-05,0.000257124,0.000130571
2.58E-05,0.000275433,0.000132576
5.32E-05,0.000269618,0.000132129
2.61E-05,0.000275493,0.000151622
2.50E-05,0.000312925,0.000141695
4.18E-05,0.00026385,0.000132568
2.50E-05,0.000251883,0.000136136
3.34E-05,0.0002454,0.000157286
4.35E-05,0.000292193,0.000138244
2.75E-05,0.000454906,0.000132231
2.46E-05,0.000400136,0.000135289
4.57E-05,0.000394314,0.000134896
5.74E-05,0.000425988,0.000144235
2.77E-05,0.000403785,0.000129723
2.41E-05,0.000383895,0.000152533
2.63E-05,0.000402194,0.000135146
4.33E-05,0.000401816,0.00013169
3.39E-05,0.000489575,0.000145758
4.60E-05,0.00038625,0.000162895
3.03E-05,0.000391874,0.000135318
3.81E-05,0.000453474,0.000129737
3.64E-05,0.00040432,0.000142283
