wadg,nsg_random,nsg_no_random
0.0107307,0.00293486,0.00294447
0.00764142,0.00318489,0.00302315
0.00507674,0.00238919,0.00259774
0.00356575,0.00184693,0.00209144
0.00439015,0.0023634,0.00273241
0.00463399,0.00273345,0.00275473
0.00505189,0.00279943,0.00306147
0.00394382,0.00184098,0.00208883
0.00320841,0.00273285,0.00287732
0.00278281,0.00244255,0.00271271
0.00305814,0.00267239,0.00301899
0.00278987,0.0024428,0.00288274
0.00358202,0.00255725,0.00279872
0.00296193,0.00264143,0.00300753
0.003011,0.00268451,0.00290131
0.00251247,0.00243507,0.0027867
0.00263639,0.00254863,0.00285604
0.00285393,0.00262743,0.00311899
0.00283122,0.0029271,0.002947
0.0027602,0.00308,0.00415235
0.00226292,0.0022307,0.00245035
0.00247448,0.00246803,0.00310285
0.00233456,0.00247329,0.002666
0.00243898,0.00253753,0.00275956
0.00243654,0.00242272,0.00258731
0.00266339,0.00245039,0.00295527
0.00342504,0.002632,0.00279249
0.00266892,0.00241771,0.00281288
0.00268478,0.00244905,0.00292136
0.00205974,0.0017277,0.00213662
0.00262557,0.00250632,0.00285897
0.00263062,0.0028967,0.00272695
0.00245012,0.00242157,0.00265305
0.00245254,0.00215999,0.00264376
0.00252148,0.00266657,0.00302824
0.00364954,0.00269007,0.00278557
0.0030131,0.00272391,0.00291627
0.00246879,0.00207974,0.00240753
0.00254692,0.00230245,0.00251057
0.002558,0.00225186,0.00231507
0.00278103,0.00244298,0.00274412
0.00261905,0.00199063,0.00238426
0.00254185,0.00286265,0.00281223
0.00289956,0.00266488,0.00276971
0.00237117,0.00200436,0.00265657
0.0022231,0.00276757,0.00248344
0.00224062,0.00214442,0.00273329
0.00287064,0.00290231,0.0032176
0.00221319,0.00198039,0.00225901
0.00230161,0.00215249,0.00222222
0.00279261,0.00222093,0.00281468
0.0023681,0.00215821,0.00252668
0.00238414,0.00248236,0.00282002
0.00229226,0.00242481,0.00285588
0.0016753,0.0017255,0.00224492
0.001927,0.00163651,0.00213806
0.00262785,0.00254697,0.00309738
0.00246714,0.00254348,0.00322805
0.00252762,0.00262994,0.00263033
0.00183084,0.00167442,0.00228958
0.00251991,0.00271325,0.00337796
0.00209694,0.00225915,0.00265039
0.00178333,0.00156808,0.00201943
0.00223095,0.00229569,0.00241935
0.00189514,0.00180467,0.00202618
0.00286292,0.00214203,0.00236908
0.0020355,0.00204417,0.00233164
