wadg,nsg_random,nsg_no_random
159946,128879,159946
85748,85748,85748
154046,82441,154046
100955,75616,117192
154284,92792,154284
108519,108340,108519
111719,99378,116358
191158,63536,191158
124276,91418,124276
77289,83466,136299
113733,101813,127162
109079,75201,121722
101991,93057,118675
84535,102157,151700
128376,103323,128376
85686,96268,152374
75638,80255,125386
104499,81199,125439
124243,78712,154856
68826,74005,109699
83762,32143,160656
80658,58409,116397
70181,64428,124075
90399,98236,180497
81898,67710,130389
126000,104380,162690
54638,83203,140343
57108,58261,126709
80072,66220,140850
91992,53141,192630
103190,92525,154644
117556,106896,134500
88274,129576,143414
189173,150774,189173
75487,89606,139570
126710,118830,131053
101711,103001,112694
155604,68926,157823
132657,112564,168064
107315,60903,144293
124915,85314,124915
109693,69593,143540
116771,87145,147682
98202,102522,108445
147912,95635,204700
80419,79188,172617
142189,101974,195419
116070,126894,126894
150263,82501,150263
82947,69309,119409
95253,114240,176972
94495,82273,151197
70086,52286,147061
36900,77495,147925
47004,98257,182364
105252,84272,183128
65442,70533,108614
76514,67583,158271
135866,140857,140857
93841,44666,240268
57839,103090,130642
68616,85964,186083
105434,60746,189950
95314,90854,123336
140185,108272,170774
91516,88336,171522
108936,132443,167542
154620,135087,163967
70964,57127,176868
73127,113738,131665
42258,48102,182912
118310,61677,201832
141690,141690,141690
123425,135044,154751
56888,76801,109115
101153,117240,136704
136595,119101,182324
149673,127740,154944
88946,99831,135629
75259,85072,217331
119901,133127,164471
115323,116277,116277
112011,102751,127814
47491,87636,160263
76313,89654,146168
190064,190064,190064
77850,116175,150086
110429,168330,198839
56036,90870,171830
99217,57741,194213
46438,55034,137524
157419,157412,203458
147132,137613,162314
79984,98821,137254
96096,113810,198635
138597,115880,170463
109052,119887,144945
110006,131480,142277
58338,48367,181463
97397,132265,132265
95631,94598,170758
86730,113155,187188
84401,88407,137023
102843,109353,192287
55116,83873,183343
125508,105151,164380
42846,59941,149537
66358,100916,187331
47530,49270,192218
99917,125020,125020
53633,41159,157735
103991,94793,127844
127477,162828,198326
149086,106506,189693
105929,141004,141004
98636,89143,174717
40847,68195,238309
100652,100652,100652
68050,78276,138702
51455,80119,241381
142347,119729,202226
111975,110459,147470
27280,99274,133265
100548,123304,175248
88395,96876,160037
54385,58598,137164
83202,88348,110342
90054,104946,179685
36743,83722,156756
130611,135734,135734
144118,111234,180680
145178,112572,221963
101486,83606,116796
136653,135141,135141
47511,69882,210244
93173,95243,142757
98976,85130,131222
182064,171179,182064
126166,134696,172743
55376,46789,132185
140877,120196,155249
144761,104168,206858
68011,105633,137767
99739,106096,157383
139388,114221,183611
119275,100065,218969
125985,99388,121703
88140,101403,141113
102748,124824,179098
149642,128896,149642
85884,84734,120259
39687,52561,189349
138021,113913,175140
78070,113155,201513
128142,158171,193045
67727,74601,110498
118653,111832,159530
85715,88046,102927
62331,60465,114398
111880,103595,149909
84105,96540,126028
126792,114790,150385
82829,84862,115355
77180,50772,138810
60699,70013,115323
51426,72325,145199
132764,124847,156149
93198,75381,123321
66421,37057,161691
61102,65895,148011
55283,77813,134758
127252,106963,147225
88705,86348,125342
120628,96901,142524
85593,78550,164601
76715,60896,179897
65989,108426,180374
62657,101345,126562
80282,79357,133642
70831,80418,121003
95739,83870,128298
79639,92966,152751
71410,83939,177115
69106,94730,163093
89412,73591,167486
32001,56520,192007
85500,113857,174378
77461,103001,142295
69014,101106,175710
123375,147703,187659
76662,151023,197445
97906,110254,149079
86877,97379,128503
91252,89300,137968
138894,155174,155174
103614,92483,118746
107475,114948,122866
106818,74748,138781
33343,110770,200520
83862,77762,113894
76783,65307,137144
82316,71193,183068
87138,86486,167876
143406,95647,156508
139384,133612,167386
82613,70790,148962
96184,77756,174621
170434,140849,181255
51767,69203,189921
40727,64902,153323
88791,94208,133121
85710,88958,187794
87854,117476,171655
85690,101654,101654
114832,83531,164554
54246,53852,164325
98418,101527,125809
68202,77068,113959
97258,96430,136016
81285,108616,155713
97130,107352,163044
67759,79254,114426
94350,82903,138108
124243,113890,113890
89962,110767,124309
78216,89498,118446
129401,132184,148842
88104,99453,159901
107745,136630,154508
106484,134023,143373
32024,55309,144508
90243,98932,131575
104773,72835,187197
115284,136215,136215
118607,133698,180681
77603,103476,206918
93765,49551,167875
153627,115903,153627
103131,141954,173007
76624,79735,152771
73538,63707,185718
99672,139510,155997
100508,106891,148382
112666,86159,163129
96143,95964,99620
70032,95467,129310
71768,88687,117689
